Indices ,Comparison,Z,P.unadj,P.adj
Abundance ,Ecological Reserve - Not Protected,-1.89,5.84E-02,1.17E-01
Abundance ,Ecological Reserve - Sanctuary Preservation Area,-6.60,4.03E-11,2.01E-10
Abundance ,Not Protected - Sanctuary Preservation Area,-10.06,8.66E-24,5.20E-23
Abundance ,Ecological Reserve - Special Use,-5.58,2.38E-08,9.51E-08
Abundance ,Not Protected - Special Use,-5.53,3.22E-08,9.67E-08
Abundance ,Sanctuary Preservation Area - Special Use,-1.10,2.72E-01,2.72E-01
Biomass,Ecological Reserve - Not Protected,-1.89,5.84E-02,1.17E-01
Biomass,Ecological Reserve - Sanctuary Preservation Area,-6.60,4.03E-11,2.01E-10
Biomass,Not Protected - Sanctuary Preservation Area,-10.06,8.66E-24,5.20E-23
Biomass,Ecological Reserve - Special Use,-5.58,2.38E-08,9.51E-08
Biomass,Not Protected - Special Use,-5.53,3.22E-08,9.67E-08
Biomass,Sanctuary Preservation Area - Special Use,-1.10,2.72E-01,2.72E-01
Evenness,Ecological Reserve - Not Protected,-1.56,1.20E-01,2.40E-01
Evenness,Ecological Reserve - Sanctuary Preservation Area,-6.97,3.25E-12,1.63E-11
Evenness,Not Protected - Sanctuary Preservation Area,-11.46,2.10E-30,1.26E-29
Evenness,Ecological Reserve - Special Use,-5.66,1.48E-08,4.44E-08
Evenness,Not Protected - Special Use,-5.92,3.31E-09,1.32E-08
Evenness,Sanctuary Preservation Area - Special Use,-0.89,3.75E-01,3.75E-01
Shannon,Ecological Reserve - Not Protected,0.90,3.69E-01,7.38E-01
Shannon,Ecological Reserve - Sanctuary Preservation Area,-1.88,5.95E-02,2.38E-01
Shannon,Not Protected - Sanctuary Preservation Area,-5.65,1.64E-08,9.86E-08
Shannon,Ecological Reserve - Special Use,-1.59,1.12E-01,3.36E-01
Shannon,Not Protected - Special Use,-2.78,5.44E-03,2.72E-02
Shannon,Sanctuary Preservation Area - Special Use,-0.31,7.57E-01,7.57E-01
Simpson ,Ecological Reserve - Not Protected,1.27,2.04E-01,8.15E-01
Simpson ,Ecological Reserve - Sanctuary Preservation Area,-1.18,2.39E-01,7.16E-01
Simpson ,Not Protected - Sanctuary Preservation Area,-4.90,9.59E-07,5.75E-06
Simpson ,Ecological Reserve - Special Use,-0.95,3.41E-01,6.81E-01
Simpson ,Not Protected - Special Use,-2.28,2.25E-02,1.13E-01
Simpson ,Sanctuary Preservation Area - Special Use,-0.14,8.86E-01,8.86E-01
Functional,Ecological Reserve - Not Protected,4.28,1.87E-05,1.12E-04
Functional,Ecological Reserve - Sanctuary Preservation Area,2.32,2.03E-02,6.10E-02
Functional,Not Protected - Sanctuary Preservation Area,-3.45,5.71E-04,2.85E-03
Functional,Ecological Reserve - Special Use,0.68,4.99E-01,4.99E-01
Functional,Not Protected - Special Use,-2.73,6.34E-03,2.54E-02
Functional,Sanctuary Preservation Area - Special Use,-1.17,2.42E-01,4.84E-01
