YEAR,PRIMARY_SAMPLE_UNIT,STRAT,PROT,richness,simpson,shannon
1999,001U,FMLR,0,43,10.518602455146366,18.02767634003983
1999,002U,FMLR,0,36,4.184875749594641,9.650551816809537
1999,003U,FMLR,0,45,6.579714793969264,14.274490919907205
1999,008U,FMLR,0,45,8.83208929835851,16.422988814955925
1999,009U,FMLR,0,46,8.355506805704518,15.323211814362201
1999,010U,FMLR,0,41,9.030410183875532,15.63733216734674
1999,011U,FMLR,0,34,10.228923222625445,15.200582818523726
1999,012U,FMLR,0,32,7.077894736842103,14.696290345404163
1999,014U,FMLR,0,26,5.728038277511961,10.97763874087424
1999,015U,FMLR,0,30,6.8562170919400565,11.74225051039415
1999,016U,FMLR,0,42,9.54676413674479,17.173389357615896
1999,017U,FMLR,0,30,4.08,8.281849752400507
1999,018U,FMLR,0,37,7.4005125588906395,14.629755283237902
1999,019U,FMLR,0,30,5.078756871496218,9.032348169820404
1999,023U,FMLR,0,29,8.242462311557787,14.224421088382098
1999,025U,FMLR,0,42,15.04893581023813,21.665859863252372
1999,028U,FMLR,0,38,10.246273264532062,15.678517347519373
1999,033U,FMLR,0,45,6.955760272724907,13.563995490618746
1999,034U,FMLR,0,34,9.617846411851025,15.03266656232901
1999,035U,FMLR,0,35,7.322147100584212,11.998315283159533
1999,046U,FMLR,0,33,15.116452672439545,19.88727884939887
1999,054U,FMLR,0,33,2.0306957270399204,4.118724084335876
1999,060U,FMLR,0,36,3.255292150835419,6.54435298333081
1999,061U,FMLR,0,37,9.87889482706464,14.765177385292043
1999,062U,FMLR,0,37,8.139963443975844,13.54899915249251
1999,080U,FMLR,0,44,7.889342192959427,13.71481264987521
1999,081U,FMLR,0,48,7.338522796020903,15.119598746001067
1999,083U,FMLR,0,36,5.699976542341073,10.179823842210117
1999,085U,FMLR,0,31,8.018995819424857,14.706871821733511
1999,086U,FMLR,0,43,5.503913894324853,12.844687997115896
1999,087U,FMLR,0,34,9.946135609293501,14.289871513822035
1999,096U,FMLR,0,22,5.194270757597792,9.574717221337549
1999,103U,FMLR,0,40,13.408155106935848,21.800558070383115
1999,104U,FMLR,0,33,10.061269146608318,14.729534549202492
1999,207U,FMLR,0,35,9.479501535127328,14.659749678926298
1999,211U,FMLR,0,36,8.090924011160348,13.729128928034363
1999,212U,FMLR,0,26,7.917414721723516,11.91234583373416
1999,213U,FMLR,0,27,6.2319982247864205,11.561600644005024
1999,214U,FMLR,0,18,7.143911439114391,10.265421061003597
1999,219U,FMLR,0,26,7.519582245430808,11.416248679065747
1999,225U,FMLR,0,51,12.280950555768497,18.615153109137562
1999,226U,FMLR,0,26,5.455824017309773,9.383041351931023
1999,227U,FMLR,0,26,9.670034733185979,14.376391030037356
1999,228U,FMLR,0,37,6.793118756936735,12.356832963363622
1999,229U,FMLR,0,27,7.653014789533564,11.91991152365309
1999,234U,FMLR,0,35,9.755070659734939,16.7234467836196
1999,236U,FMLR,0,33,12.034882558720646,16.898989871918893
1999,238U,FMLR,0,32,6.509026188660059,12.716639839183697
1999,239U,FMLR,0,35,10.010490529383192,15.064079950509365
1999,242U,FMLR,0,34,6.663452330579247,11.474998574636201
1999,245U,FMLR,0,50,10.920846525579071,19.046184108957405
1999,246U,FMLR,0,44,13.363331359778956,20.16805326308867
1999,247U,FMLR,0,44,12.582918066983428,19.367293433920253
1999,248U,FMLR,0,45,11.754784355297671,17.819541092933665
1999,641U,FMLR,0,36,3.5953134476484534,8.260574309488442
1999,643U,FMLR,0,36,7.301465110504094,14.316293186623897
1999,645U,FMLR,0,52,7.500206937245437,11.803188666035302
1999,006U,FMLR,1,63,12.342353090669816,18.93985627065313
1999,013U,FMLR,1,22,6.699435028248588,11.216543092695943
1999,038U,FMLR,1,37,6.11634419551935,13.010851685559762
1999,039U,FMLR,1,34,7.495938544571933,13.609554401498087
1999,082U,FMLR,1,38,13.169528601115609,18.529049375399484
1999,110U,FMLR,1,27,6.337743482166518,11.075689065931819
1999,203U,FMLR,1,30,8.337131630648333,13.360460218829804
1999,204U,FMLR,1,34,7.079794813337136,11.931993802802285
1999,205U,FMLR,1,35,9.264430270100005,13.52037531816329
1999,210U,FMLR,1,34,5.030100334448159,10.318055887321375
1999,240U,FMLR,1,51,6.142135216377094,10.226412468583273
1999,241U,FMLR,1,45,5.311038610502792,9.193238860874748
1999,243U,FMLR,1,33,9.986954565901934,15.03672652295257
1999,244U,FMLR,1,35,4.242210790133226,7.708495509781848
1999,004U,FSLR,0,61,9.869111460750693,16.20362740617161
1999,022U,FSLR,0,30,12.023828435266086,16.06824156177621
1999,051U,FSLR,0,31,5.547680911050915,10.09364657829445
1999,055U,FSLR,0,37,5.619004188790824,10.766223144166467
1999,072U,FSLR,0,35,13.522678636672067,18.269619676292063
1999,073U,FSLR,0,40,16.67704241695002,23.648345379769285
1999,079U,FSLR,0,36,8.529884682141844,13.573809840201644
1999,088U,FSLR,0,41,10.5868531065302,17.75171471054958
1999,102U,FSLR,0,31,9.78888270533131,13.770283351145103
1999,231U,FSLR,0,34,3.7401436421365895,8.072668487065831
1999,644U,FSLR,0,55,12.520525026285554,19.208719576966725
1999,032U,FSLR,1,44,6.8385119128060525,12.231624491393367
1999,040U,FSLR,1,37,5.2120906074159565,10.961183742498044
1999,089U,FSLR,1,31,11.853658536585366,16.44273290727606
1999,020U,HRRF,0,12,5.3979591836734695,7.069211835599437
1999,047U,HRRF,0,50,10.182822514277161,18.28617663358535
1999,048U,HRRF,0,50,10.232824255530028,17.891775142741892
1999,106U,HRRF,0,35,5.923925667828109,11.188161825193168
1999,201U,HRRF,0,45,14.893931398416875,21.99861217778781
1999,202U,HRRF,0,40,5.5183355006501955,10.796624444648526
1999,208U,HRRF,0,43,9.802900266350994,16.564585955249424
1999,217U,HRRF,0,28,5.396330053721252,10.424064480387694
1999,005U,HRRF,1,60,8.936874387079369,15.413162147889214
1999,007U,HRRF,1,51,9.34831779046696,16.959727764071026
1999,026U,HRRF,1,36,11.264959562147236,15.548872919440168
1999,027U,HRRF,1,54,11.350626784595164,18.24716320463995
1999,036U,HRRF,1,45,11.736683560657944,20.469242701569897
1999,037U,HRRF,1,39,6.0792830964788855,10.12242858749829
1999,042U,HRRF,1,53,13.764414901839537,24.412313914492046
1999,043U,HRRF,1,44,6.443334505803728,12.996422073757033
1999,049U,HRRF,1,42,6.293350316899562,11.711380729101013
1999,050U,HRRF,1,46,9.495938465962189,17.681035845373398
1999,052U,HRRF,1,42,7.66852554669145,13.314365090557004
1999,053U,HRRF,1,42,8.104076636508779,14.673291339668049
1999,059U,HRRF,1,47,4.489391852466368,10.063955545509183
1999,091U,HRRF,1,39,6.5084800000000005,12.684788172429275
1999,092U,HRRF,1,50,11.24494538693935,20.661589226642874
1999,093U,HRRF,1,39,3.404812652519076,8.099713594249215
1999,094U,HRRF,1,45,3.2241598850579076,7.791767449317442
1999,095U,HRRF,1,30,12.209302325581392,17.71200803475834
1999,105U,HRRF,1,40,14.995053003533563,22.817560067839775
1999,107U,HRRF,1,47,10.01518438177874,15.857424009717796
1999,108U,HRRF,1,57,6.865886804971737,14.731185859390116
1999,109U,HRRF,1,63,13.975817041143852,24.075954245913117
1999,206U,HRRF,1,31,8.371081177732748,12.770386844299955
1999,209U,HRRF,1,46,10.298924145444637,16.790572930073974
1999,222U,HRRF,1,57,5.623435732274522,10.714907972940843
1999,223U,HRRF,1,48,10.218849325164681,18.182277829748237
1999,230U,HRRF,1,48,6.686854005167956,13.467746078932763
1999,232U,HRRF,1,59,5.418666964916746,10.157772978717805
1999,233U,HRRF,1,26,10.366053899696595,14.630137805869268
1999,235U,HRRF,1,33,8.334726840855106,12.73597475713443
1999,237U,HRRF,1,43,9.949224110630208,16.06871608786333
1999,071U,INPR,0,28,4.655223781779663,7.454179555577198
1999,076U,INPR,0,16,3.6325073498530016,6.482034795068881
1999,077U,INPR,0,32,7.611073189230186,12.556024648107533
1999,084U,INPR,0,44,4.044630240226096,9.67221398488368
1999,100U,INPR,0,29,7.4395742016280515,12.236628224009353
1999,101U,INPR,0,31,11.52321267422039,16.586115020927764
