YEAR,FMLR,FSLR,HRRF,OFPR,MCPR,INPR,FDLR,total
1999,71,14,39,8,21,8,NA,161
2000,97,27,41,16,30,17,NA,228
2001,86,44,79,15,54,12,14,304
2002,179,19,53,24,45,17,18,355
2003,70,32,59,14,33,15,13,236
2004,33,17,42,12,10,3,9,126
2005,81,32,47,20,43,8,25,256
2006,115,52,51,25,50,12,22,327
2007,124,37,48,18,56,10,24,317
2008,146,54,44,37,58,14,23,376
2009,201,60,57,54,73,23,48,516
2010,166,62,23,39,47,10,32,379
2011,146,62,32,35,40,14,73,402
2012,172,51,26,46,72,9,40,416
2014,134,67,40,52,87,17,35,432
2016,111,64,52,55,75,16,31,404
