PRIMARY_SAMPLE_UNIT,YEAR,MONTH,DAY,STATION_NR,LAT_DEGREES,LON_DEGREES,DEPTH,UNDERWATER_VISIBILITY,MAPGRID_NR,HABITAT_CD,ZONE_NR,SUBREGION_NR,MPA_NR,SPECIES_NR,SPECIES_CD,LEN,NUM,TIME_SEEN,PROT,STRAT,REGION
001U,1999,4,27,1,25.6266667,-80.0916666,10.2,8,8270424,SPGR_LR,4,12,0,1,ANT OCEL,0,0,1,0,FMLR,FLA KEYS
002U,1999,4,27,1,25.6266667,-80.0916666,9.8,8,8270424,SPGR_LR,4,12,0,417,HET LONG,0,0,1,0,FMLR,FLA KEYS
003U,1999,4,30,4,25.6266667,-80.0916666,8.2,8,8270424,SPGR_LR,4,12,0,316,EPI FLAV,0,0,1,0,FMLR,FLA KEYS
004U,1999,5,3,4,24.99,-80.4153333,4.7,8,7670070,RUBB_LR,4,11,0,40,DEC MACA,0,0,1,0,FSLR,FLA KEYS
005U,1999,5,3,3,25.0361667,-80.3508333,7.9,8,7790096,SPGR_HR,4,11,5,245,NES LONG,0,0,1,1,HRRF,FLA KEYS
006U,1999,5,4,3,25.012,-80.3766666,5.6,8,7741333,RUBB_LR,4,11,6,717,ELA SPE.,0,0,1,1,FMLR,FLA KEYS
007U,1999,5,4,3,25.1091667,-80.3059999,2.9,8,7872637,SPGR_HR,3,11,4,264,SPH TEST,0,0,1,1,HRRF,FLA KEYS
008U,1999,5,11,1,25.5566667,-80.1033332,14,8,8251635,ISOL_LR,4,12,0,426,APO PHEN,0,0,1,0,FMLR,FLA KEYS
009U,1999,5,11,4,25.5935,-80.0938332,9.8,8,8266655,SPGR_LR,4,12,0,167,STE PART,3.5,0.75,1,0,FMLR,FLA KEYS
010U,1999,5,11,1,25.6266667,-80.0916666,9,8,8270424,SPGR_LR,4,12,0,58,MAL MACR,0,0,1,0,FMLR,FLA KEYS
011U,1999,5,12,3,25.4816667,-80.1133332,9.6,8,8232843,SPGR_LR,4,12,0,137,PSE MACU,0,0,1,0,FMLR,FLA KEYS
012U,1999,5,14,1,25.6266667,-80.0916666,9.3,8,8270424,SPGR_LR,4,12,0,383,ALP AFER,0,0,1,0,FMLR,FLA KEYS
013U,1999,5,18,2,24.477577,-81.722855,11.6,8,5187287,SPGR_LR,4,8,20,158,CHR CYAN,8,0.5,1,1,FMLR,FLA KEYS
014U,1999,5,18,2,24.4361667,-81.9269999,16.2,8,4801015,SPGR_LR,4,8,0,158,CHR CYAN,0,0,1,0,FMLR,FLA KEYS
015U,1999,5,19,2,24.4355,-81.9401666,18.4,8,4774764,SPGR_LR,4,8,0,109,KYP SECT,0,0,1,0,FMLR,FLA KEYS
016U,1999,5,19,2,24.4358334,-81.9401666,15.4,8,4774765,SPGR_LR,4,8,0,169,STE VARI,0,0,1,0,FMLR,FLA KEYS
017U,1999,5,20,2,24.4346667,-81.9438333,10.7,8,4767264,SPGR_LR,4,8,0,52,AMB PINO,0,0,1,0,FMLR,FLA KEYS
018U,1999,5,20,2,24.4348334,-81.9503333,16.6,8,4756014,SPGR_LR,4,8,0,335,EUC GULA,0,0,1,0,FMLR,FLA KEYS
019U,1999,5,20,2,24.4353333,-81.9528333,14.9,8,4752264,SPGR_LR,4,8,0,153,HOL CILI,-9,0,3,0,FMLR,FLA KEYS
020U,1999,5,20,1,24.4446667,-81.9261666,15.9,8,4801019,SPGR_HR,4,8,0,33,PAR BAIR,0,0,1,0,HRRF,FLA KEYS
021U,1999,6,4,1,25.246,-80.2114999,7.3,8,8052713,ISOL_MR,3,11,0,707,HOL SPE.,0,0,1,0,OFPR,FLA KEYS
022U,1999,6,4,2,25.2526667,-80.2156666,4.3,8,8041466,CONT_LR,4,11,0,305,EUT ALLE,0,0,1,0,FSLR,FLA KEYS
023U,1999,6,9,2,25.6266667,-80.0916666,11.4,8,8270424,SPGR_LR,4,12,0,120,XYR NOVA,0,0,1,0,FMLR,FLA KEYS
024U,1999,6,9,2,24.9045001,-80.6151666,2.3,8,7291273,ISOL_MR,2,10,11,383,ALP AFER,0,0,1,1,MCPR,FLA KEYS
025U,1999,6,9,1,24.8573334,-80.6089999,5.9,8,7302497,CONT_LR,4,10,0,258,DIP ARGE,0,0,1,0,FMLR,FLA KEYS
026U,1999,6,9,2,24.8500001,-80.6168333,4.7,8,7287492,SPGR_HR,4,10,12,69,FIS TABA,0,0,1,1,HRRF,FLA KEYS
